id|fullName|checkNumber|phone
1|Akimov Makar Daniilovich|00001|+7 (527) 351-88-54
2|Timofeev Evgeny Mikhailovich|00002|+7 (186) 645-52-73
3|Sedov Maxim Demidovich|00003|+7 (128) 577-24-10
4|Efremov Semyon Romanovich|00005|+7 (268) 033-33-03
5|Rudakov Fedor Sergeevich|00006|+7 (598) 926-88-51
6|Gerasimov Timofey Daniilovich|00007|+7 (268) 629-60-83
7|Kudryashov Artyom Leonidovich|00008|+7 (460) 018-30-37
8|Naumov Roman Ivanovich|00009|+7 (812) 222-40-99
9|Martynov Dmitry Matveevich|00010|+7 (275) 845-77-39
10|Nikitin Alexey Egorovich|00011|+7 (166) 448-20-40
